time_s,max_C_1d,max_C_2d,difference_2d_minus_1d
1.302000000000000000e+05,1.854340308215551014e-01,1.854310420327707210e-01,-2.988788784380469465e-06
1.308000000000000000e+05,1.849884538104543952e-01,1.849854731637988470e-01,-2.980646655548202517e-06
1.314000000000000000e+05,1.845472849759248191e-01,1.845443124668092738e-01,-2.972509115545252101e-06
1.320000000000000000e+05,1.841104546447929202e-01,1.841074902313796502e-01,-2.964413413270028386e-06
1.326000000000000000e+05,1.836778946294703452e-01,1.836749381925351088e-01,-2.956436935236395058e-06
1.332000000000000000e+05,1.832495382528012973e-01,1.832465897930295184e-01,-2.948459771778821903e-06
1.338000000000000000e+05,1.828253201744430845e-01,1.828223796321155614e-01,-2.940542327523054666e-06
1.344000000000000000e+05,1.824051764627133143e-01,1.824022438147957226e-01,-2.932647917591735265e-06
1.350000000000000000e+05,1.819890445215562869e-01,1.819861197172051859e-01,-2.924804351100984690e-06
1.356000000000000000e+05,1.815768630170363496e-01,1.815739460238234015e-01,-2.916993212948026937e-06
1.362000000000000000e+05,1.811685719489355140e-01,1.811656626871115949e-01,-2.909261823919040424e-06
1.368000000000000000e+05,1.807641124686796830e-01,1.807612109365433761e-01,-2.901532136306839149e-06
1.374000000000000000e+05,1.803634270093379954e-01,1.803605331251354471e-01,-2.893884202548324680e-06
1.380000000000000000e+05,1.799664591139899517e-01,1.799635728413651325e-01,-2.886272624819108401e-06
1.386000000000000000e+05,1.795731534865230017e-01,1.795702748188487408e-01,-2.878667674260926290e-06
1.392000000000000000e+05,1.791834559633202761e-01,1.791805848501872578e-01,-2.871113133018354802e-06
1.398000000000000000e+05,1.787973134506997963e-01,1.787944498373338353e-01,-2.863613365960970825e-06
1.404000000000000000e+05,1.784146739131635684e-01,1.784118177717398945e-01,-2.856141423673852486e-06
1.410000000000000000e+05,1.780354863585938974e-01,1.780326376231936292e-01,-2.848735400268198603e-06
1.416000000000000000e+05,1.776597007638409387e-01,1.776568594253591649e-01,-2.841338481773814095e-06
1.422000000000000000e+05,1.772872681431225117e-01,1.772844341231647469e-01,-2.834019957764777331e-06
1.428000000000000000e+05,1.769181403961649635e-01,1.769153136751576427e-01,-2.826721007320731616e-06
1.434000000000000000e+05,1.765522704155776945e-01,1.765494509606624629e-01,-2.819454915231611736e-06
1.440000000000000000e+05,1.761896119848717079e-01,1.761867997510095929e-01,-2.812233862115043337e-06
1.446000000000000000e+05,1.758301197763426638e-01,1.758273147249191648e-01,-2.805051423498960972e-06
1.452000000000000000e+05,1.754737493296794348e-01,1.754709514224535027e-01,-2.797907225932094732e-06
1.458000000000000000e+05,1.751204570138387984e-01,1.751176662302202647e-01,-2.790783618533687616e-06
1.464000000000000000e+05,1.747702000764999875e-01,1.747674163612567833e-01,-2.783715243204198941e-06
1.470000000000000000e+05,1.744229365096135742e-01,1.744201598354218619e-01,-2.776674191712347195e-06
1.476000000000000000e+05,1.740786251406616636e-01,1.740758554603436536e-01,-2.769680318009948294e-06
1.482000000000000000e+05,1.737372255360945528e-01,1.737344628129046942e-01,-2.762723189858595774e-06
1.488000000000000000e+05,1.733986980237094688e-01,1.733959422212467960e-01,-2.755802462672818365e-06
1.494000000000000000e+05,1.730630036556232709e-01,1.730602547427713689e-01,-2.748912851902041155e-06
1.500000000000000000e+05,1.727301042145944487e-01,1.727273621652043178e-01,-2.742049390130896214e-06
1.506000000000000000e+05,1.723999621987768183e-01,1.723972269628728793e-01,-2.735235903938981750e-06
