time_s,air_T_C,surface_C_drybasis,air_dewpoint_C,baseline_center_T_C,baseline_surface_T_C,latent_center_T_C,latent_surface_T_C
1.000000000000000000e+02,2.897066666666666634e+01,2.247074184658740315e+00,2.522124307084017047e+01,2.800005348493886004e+01,2.818004785276506041e+01,2.797787215032904840e+01,1.694185773821669372e+01
1.010000000000000000e+02,2.898173333333333446e+01,2.245667984475079315e+00,2.522804707787623002e+01,2.800005817203822645e+01,2.818291454557080300e+01,2.797635128355402045e+01,1.690220788701928001e+01
1.020000000000000000e+02,2.899279999999999902e+01,2.244269710519169347e+00,2.523484815611515231e+01,2.800006317987445570e+01,2.818579638701029921e+01,2.797475725663148793e+01,1.686289376383402683e+01
1.030000000000000000e+02,2.900386666666666713e+01,2.242879245712130487e+00,2.524164630800226305e+01,2.800006852386989920e+01,2.818869324543876331e+01,2.797308827795865582e+01,1.682391023747615577e+01
1.040000000000000000e+02,2.901493333333333169e+01,2.241496475815406342e+00,2.524844153597980068e+01,2.800007421983350042e+01,2.819160499257166208e+01,2.797134257640273347e+01,1.678525230317173111e+01
1.050000000000000000e+02,2.902599999999999980e+01,2.240121289335375909e+00,2.525523384248692693e+01,2.800008028395805582e+01,2.819453150332424229e+01,2.796951840270844869e+01,1.674691507823134273e+01
1.060000000000000000e+02,2.903706666666666791e+01,2.238753577432010644e+00,2.526202322995978378e+01,2.800008673281724825e+01,2.819747265566263650e+01,2.796761403082730268e+01,1.670889379791606899e+01
1.070000000000000000e+02,2.904813333333333247e+01,2.237393233831317829e+00,2.526880970083146138e+01,2.800009358336263077e+01,2.820042833046566244e+01,2.796562775917038479e+01,1.667118381148372563e+01
1.080000000000000000e+02,2.905920000000000059e+01,2.236040154741479657e+00,2.527559325753199815e+01,2.800010085292040785e+01,2.820339841139604431e+01,2.796355791178620009e+01,1.663378057840456847e+01
1.090000000000000000e+02,2.907026666666666515e+01,2.234694238772508612e+00,2.528237390248841621e+01,2.800010855918807096e+01,2.820638278478009298e+01,2.796140283946354899e+01,1.659667966473768175e+01
1.100000000000000000e+02,2.908133333333333326e+01,2.233355386859220637e+00,2.528915163812468236e+01,2.800011672023117626e+01,2.820938133949515958e+01,2.795916092076150861e+01,1.655987673966056306e+01
1.110000000000000000e+02,2.909240000000000137e+01,2.232023502187364894e+00,2.529592646686180757e+01,2.800012535447989492e+01,2.821239396686429046e+01,2.795683056296747537e+01,1.652336757214386509e+01
1.120000000000000000e+02,2.910346666666666593e+01,2.230698490122711597e+00,2.530269839111775099e+01,2.800013448072545685e+01,2.821542056055744752e+01,2.795441020298505919e+01,1.648714802776352784e+01
1.130000000000000000e+02,2.911453333333333404e+01,2.229380258142997118e+00,2.530946741330735961e+01,2.800014411811671167e+01,2.821846101649877525e+01,2.795189830815307275e+01,1.645121406564344113e+01
1.140000000000000000e+02,2.912559999999999860e+01,2.228068715772580699e+00,2.531623353584267377e+01,2.800015428615644808e+01,2.822151523277937457e+01,2.794929337699814553e+01,1.641556173552154618e+01
1.150000000000000000e+02,2.913666666666666671e+01,2.226763774519679107e+00,2.532299676113253284e+01,2.800016500469785541e+01,2.822458310957511074e+01,2.794659393992170493e+01,1.638018717493387655e+01
1.160000000000000000e+02,2.914773333333333483e+01,2.225465347816052208e+00,2.532975709158289845e+01,2.800017629394088914e+01,2.822766454906910027e+01,2.794379855982418093e+01,1.634508660651079381e+01
1.170000000000000000e+02,2.915879999999999939e+01,2.224173350959017359e+00,2.533651452959671957e+01,2.800018817442854058e+01,2.823075945537859255e+01,2.794090583266729055e+01,1.631025633537951336e+01
1.180000000000000000e+02,2.916986666666666750e+01,2.222887701055703769e+00,2.534326907757392178e+01,2.800020066704319888e+01,2.823386773448582687e+01,2.793791438797781979e+01,1.627569274666790733e+01
1.190000000000000000e+02,2.918093333333333206e+01,2.221608316969423846e+00,2.535002073791150679e+01,2.800021379300290647e+01,2.823698929417268744e+01,2.793482288929332213e+01,1.624139230310518656e+01
1.200000000000000000e+02,2.919200000000000017e+01,2.220335119267871971e+00,2.535676951300341386e+01,2.800022757385752570e+01,2.824012342197798375e+01,2.793163003455572380e+01,1.620735057137931534e+01
1.210000000000000000e+02,2.920019999999999882e+01,2.219068088742292666e+00,2.536298641978432400e+01,2.800024203148511504e+01,2.824321207505512987e+01,2.792833455644519347e+01,1.617350652956467627e+01
1.220000000000000000e+02,2.920840000000000103e+01,2.217807011473654111e+00,2.536920088005848228e+01,2.800025718808790387e+01,2.824626294718582287e+01,2.792493522265879236e+01,1.613986424879402293e+01
1.230000000000000000e+02,2.921659999999999968e+01,2.216551883507642984e+00,2.537541289569288594e+01,2.800027306618864742e+01,2.824929501061416559e+01,2.792143083691066963e+01,1.610643985640430387e+01
1.240000000000000000e+02,2.922480000000000189e+01,2.215302643426886764e+00,2.538162246855241122e+01,2.800028968864634393e+01,2.825231434541429110e+01,2.791782023692525172e+01,1.607323656395565337e+01
1.250000000000000000e+02,2.923300000000000054e+01,2.214059215490743249e+00,2.538782960049983828e+01,2.800030707860805990e+01,2.825532466314561830e+01,2.791410229896032646e+01,1.604025474120745187e+01
1.260000000000000000e+02,2.924119999999999919e+01,2.212821535894664571e+00,2.539403429339576590e+01,2.800032525951586493e+01,2.825832845712483632e+01,2.791027593205088309e+01,1.600749393208658233e+01
1.270000000000000000e+02,2.924940000000000140e+01,2.211589531089752647e+00,2.540023654909872874e+01,2.800034425513074154e+01,2.826132740036302238e+01,2.790634007969755359e+01,1.597495304870089683e+01
1.280000000000000000e+02,2.925760000000000005e+01,2.210363131152469851e+00,2.540643636946508011e+01,2.800036408952843558e+01,2.826432276681887501e+01,2.790229372273407193e+01,1.594263052510961565e+01
1.290000000000000000e+02,2.926579999999999870e+01,2.209142269716141804e+00,2.541263375634914112e+01,2.800038478706659717e+01,2.826731561639295975e+01,2.789813587850424170e+01,1.591052457669625397e+01
1.300000000000000000e+02,2.927400000000000091e+01,2.207926882405853330e+00,2.541882871160300894e+01,2.800040637239855101e+01,2.827030681656572142e+01,2.789386559999186588e+01,1.587863331210022722e+01
1.310000000000000000e+02,2.928219999999999956e+01,2.206716905951615626e+00,2.542502123707673789e+01,2.800042887046490492e+01,2.827329708653010698e+01,2.788948197556473829e+01,1.584695476447293139e+01
1.320000000000000000e+02,2.929040000000000177e+01,2.205512278024638562e+00,2.543121133461829686e+01,2.800045230648077776e+01,2.827628703228464957e+01,2.788498412754391964e+01,1.581548690976485716e+01
1.330000000000000000e+02,2.929860000000000042e+01,2.204312937487419966e+00,2.543739900607345561e+01,2.800047670594844362e+01,2.827927716991192142e+01,2.788037121739976243e+01,1.578422767738405952e+01
1.340000000000000000e+02,2.930679999999999907e+01,2.203118824232929374e+00,2.544358425328597662e+01,2.800050209465618067e+01,2.828226794436708502e+01,2.787564243627512539e+01,1.575317498323053478e+01
1.350000000000000000e+02,2.931500000000000128e+01,2.201929879426634873e+00,2.544976707809744099e+01,2.800052849865915050e+01,2.828525974751103078e+01,2.787079701463554926e+01,1.572232673114607948e+01
1.360000000000000000e+02,2.932319999999999993e+01,2.200746045317912625e+00,2.545594748234745097e+01,2.800055594427175620e+01,2.828825292681309023e+01,2.786583421758544787e+01,1.569168082705524547e+01
1.370000000000000000e+02,2.933140000000000214e+01,2.199567265179795950e+00,2.546212546787337061e+01,2.800058445806709173e+01,2.829124779062209782e+01,2.786075334383882662e+01,1.566123518457711761e+01
1.380000000000000000e+02,2.933960000000000079e+01,2.198393483300950635e+00,2.546830103651058863e+01,2.800061406687539289e+01,2.829424461353459819e+01,2.785555372582428646e+01,1.563098772866897512e+01
1.390000000000000000e+02,2.934779999999999944e+01,2.197224644982214592e+00,2.547447419009234437e+01,2.800064479777925186e+01,2.829724364172384909e+01,2.785023472992623184e+01,1.560093639899205975e+01
1.400000000000000000e+02,2.935600000000000165e+01,2.196060696514926303e+00,2.548064493044983791e+01,2.800067667810749938e+01,2.830024509723475745e+01,2.784479575628804326e+01,1.557107915300837142e+01
1.410000000000000000e+02,2.936420000000000030e+01,2.194901585150036638e+00,2.548681325941214482e+01,2.800070973542980823e+01,2.830324918114827426e+01,2.783923623833925376e+01,1.554141396833645317e+01
